g1_t,g2_t,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence,g1_similarity,g2_similarity
0.9,0.1,69,2,0.9062832,1,91,0.90330243,0.9092639
0.5,0.1,70,1,0.515298,1,32,0.51255137,0.5180446
0.9,0.1,70,2,0.9047039,1,87,0.9031575,0.90625036
0.5,0.1,71,1,0.51507616,1,37,0.513076,0.5170764
0.9,0.1,71,2,0.9054869,1,89,0.9033644,0.90760934
0.5,0.1,72,1,0.5152608,1,32,0.51315856,0.517363
0.9,0.1,72,2,0.9049022,1,92,0.9031356,0.9066689
0.5,0.1,73,1,0.5159555,1,36,0.5133396,0.51857144
0.9,0.1,73,2,0.905453,1,96,0.9031866,0.9077194
0.5,0.1,74,1,0.5156808,1,30,0.513392,0.51796955
0.9,0.1,74,2,0.905077,1,89,0.9030577,0.9070963
0.5,0.1,75,1,0.5160422,1,38,0.5135866,0.5184978
0.9,0.1,75,2,0.9053696,1,89,0.9032479,0.9074912
0.5,0.1,76,1,0.5135626,1,30,0.51289636,0.5142288
0.9,0.1,76,2,0.9056907,1,92,0.90340763,0.9079738
0.5,0.1,77,1,0.51502836,1,35,0.5124671,0.5175897
0.9,0.1,77,2,0.90605253,1,87,0.9034399,0.9086651
0.5,0.1,78,1,0.51656955,1,36,0.5135304,0.5196087
0.9,0.1,78,2,0.9054653,1,88,0.9029089,0.9080217
0.5,0.1,79,1,0.5165306,1,35,0.51388705,0.5191741
0.9,0.1,79,2,0.90520585,1,89,0.9028597,0.907552
0.5,0.1,80,1,0.514897,1,33,0.5142338,0.51556015
0.9,0.1,80,2,0.9046597,1,88,0.9031713,0.9061481
0.5,0.1,81,1,0.5164061,1,33,0.5130881,0.51972413
0.9,0.1,81,2,0.90532887,1,91,0.90314305,0.90751475
0.5,0.1,82,1,0.51634014,1,36,0.5146752,0.51800513
0.9,0.1,82,2,0.90506536,1,90,0.9032859,0.9068448
0.5,0.1,83,1,0.5159234,1,36,0.5140647,0.51778203
0.9,0.1,83,2,0.90542364,1,87,0.9032743,0.907573
0.5,0.1,84,1,0.5164101,1,32,0.5138039,0.51901627
0.9,0.1,84,2,0.9056377,1,92,0.903286,0.9079894
0.5,0.1,85,1,0.5161323,1,36,0.5140692,0.51819545
0.9,0.1,85,2,0.90483594,1,92,0.90311074,0.9065612
0.5,0.1,86,1,0.5165336,1,47,0.5144207,0.51864654
0.9,0.1,86,2,0.90467376,1,93,0.90305746,0.9062901
0.5,0.1,87,1,0.51582026,1,35,0.51370865,0.51793194
0.9,0.1,87,2,0.90533835,1,92,0.9031791,0.9074975
0.5,0.1,88,1,0.5163199,1,42,0.5144566,0.5181832
0.9,0.1,88,2,0.9050669,1,91,0.9030523,0.90708154
0.5,0.1,89,1,0.5141562,1,43,0.51287156,0.5154409
0.9,0.1,89,2,0.9049434,1,92,0.90280354,0.9070833
0.5,0.1,90,1,0.515619,1,39,0.51268345,0.5185545
0.9,0.1,90,2,0.904912,1,89,0.90312773,0.9066963
0.5,0.1,91,1,0.5148692,1,35,0.5124478,0.5172906
0.9,0.1,91,2,0.9051242,1,88,0.90285504,0.90739334
0.5,0.1,92,1,0.51482445,1,35,0.51286566,0.51678324
0.9,0.1,92,2,0.90552837,1,92,0.90320456,0.90785223
0.5,0.1,93,1,0.5132139,1,43,0.5105533,0.51587445
0.9,0.1,93,2,0.90502024,1,92,0.9030949,0.9069456
